name,street,model,bedrooms,bathrooms,district,region,planning_area,subszone,lat,lng,tenure,built_year,no_of_units,area_size,price
corals at keppel bay,keppel bay drive,condominium,2.0,2.0,4,central region,bukit merah,maritime square,1.26489010829928,103.816454088109,0,2016.0,366.0,969.0,1881000.0
grange 1866,grange road,apartment,1.0,1.0,10,central region,river valley,one tree hill,1.2998826225442,103.828975333714,1,2013.0,60.0,527.0,1580700.0
marina one residences,marina way,apartment,3.0,2.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,1518.0,4312000.0
rivergate,robertson quay,apartment,3.0,3.0,9,central region,singapore river,robertson quay,1.29173359502464,103.836971346231,1,2009.0,545.0,1496.0,4620000.0
riverbank @ fernvale,15 fernvale close ,condominium,4.0,3.0,28,north-east region,sengkang,fernvale,1.39500084857108,103.881564789742,0,2016.0,555.0,1055.0,1104400.0
cairnhill plaza,53 cairnhill road ,apartment,4.0,5.0,9,central region,newton,cairnhill,1.30616222501617,103.83699453780198,1,1978.0,204.0,3305.0,7920000.0
sennett residence,37 pheng geck avenue ,condominium,2.0,1.0,13,central region,toa payoh,sennett,1.33183478538043,103.869655274598,0,2016.0,332.0,872.0,1408000.0
emerald park,2 indus road ,condominium,2.0,2.0,3,central region,bukit merah,bukit ho swee,1.28948198551176,103.830085402755,0,1993.0,280.0,926.0,1540000.0
bijou,2 jalan mat jambol ,apartment,2.0,1.0,5,central region,queenstown,pasir panjang 2,1.27685386379359,103.791742171785,1,2018.0,120.0,603.0,1443800.0
stars of kovan,upper serangoon road,apartment,2.0,2.0,19,north-east region,hougang,lorong ah soo,1.36150960154245,103.887627003056,0,2019.0,395.0,743.0,1485000.0
oue twin peaks,33 leonie hill road ,condominium,1.0,1.0,9,central region,river valley,leonie hill,1.29916779999053,103.83342756799,0,2015.0,462.0,549.0,1848000.0
the watergardens at canberra,47 canberra drive ,apartment,4.0,3.0,27,north region,sembawang,sembawang springs,1.4401512884871297,103.82780133663,0,1930.0,448.0,1302.0,2050400.0
bartley ridge,42 mount vernon road ,condominium,1.0,1.0,13,central region,toa payoh,joo seng,1.34099076651783,103.880849820172,0,2016.0,868.0,463.0,748000.0
26 newton,26 newton road ,apartment,3.0,2.0,11,central region,novena,moulmein,1.3156928164723998,103.841615456446,1,2016.0,180.0,775.0,2176900.0
marina one residences,21 marina way ,apartment,2.0,2.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,1005.0,2860000.0
juniper hill,ewe boon road,apartment,2.0,1.0,10,central region,tanglin,nassim,1.3164820339781698,103.829897153451,1,1930.0,115.0,635.0,1892000.0
forett@bukit timah,32 toh tuck road ,apartment,3.0,3.0,21,central region,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,1930.0,258.0,1033.0,2263800.0
hedges park condominium,83 flora drive ,condominium,4.0,4.0,17,east region,pasir ris,flora drive,1.35516120754023,103.967844585142,0,2015.0,501.0,1539.0,1859000.0
marina one residences,23 marina way ,apartment,1.0,1.0,1,central region,downtown core,central subzone,1.2772242561628302,103.853694940241,0,2017.0,1042.0,732.0,1837000.0
sims urban oasis,2 sims urban oasis ,condominium,1.0,1.0,14,central region,geylang,aljunied,1.3191895872053898,103.881380824314,0,2013.0,1024.0,560.0,946000.0
zyanya,lorong 25a geylang,apartment,4.0,3.0,14,central region,geylang,aljunied,1.31391724536932,103.883271343775,1,1930.0,34.0,1313.0,2168100.0
corals at keppel bay,keppel bay drive,condominium,3.0,3.0,4,central region,bukit merah,maritime square,1.26489010829928,103.816454088109,0,2016.0,366.0,1500.0,3850000.0
riviera residences,11 riviera drive ,condominium,3.0,3.0,16,east region,bedok,bedok south,1.31569810361721,103.942695656331,1,2007.0,138.0,1216.0,2145000.0
the woodleigh residences,21 bidadari park drive ,apartment,2.0,2.0,13,central region,toa payoh,bidadari,1.33846074116521,103.871405511562,0,1960.0,667.0,743.0,1772100.0
kent ridge hill residences,56a south buona vista road ,condominium,3.0,2.0,5,central region,queenstown,pasir panjang 2,1.28071186552745,103.79096314844,0,1930.0,548.0,786.0,1408000.0
nouvel 18,16 anderson road ,condominium,4.0,4.0,10,central region,newton,orange grove,1.31083945362027,103.828325367461,1,2014.0,156.0,2476.0,7891400.0
marina bay residences,marina boulevard,condominium,3.0,3.0,1,central region,downtown core,central subzone,1.279625798918,103.854987203774,0,2010.0,428.0,1636.0,4158000.0
mayfair gardens,rifle range road,condominium,2.0,2.0,21,central region,bukit timah,swiss club,1.3382224855350802,103.781375965144,0,1989.0,215.0,786.0,1727000.0
heron bay,59 upper serangoon view ,executive condominium,3.0,2.0,19,north-east region,hougang,kangkar,1.37669739983417,103.903413816668,0,2015.0,394.0,1227.0,1353000.0
kopar at newton,8 makeway avenue ,apartment,4.0,4.0,9,central region,novena,moulmein,1.31273110891936,103.840805628022,0,1930.0,378.0,1528.0,3848900.0
d'leedon,13 leedon heights ,condominium,2.0,1.0,10,central region,bukit timah,farrer court,1.31591024154147,103.803764384395,0,2014.0,1715.0,635.0,1485000.0
the iveria,2 kim yam road ,apartment,3.0,2.0,9,central region,river valley,institution hill,1.2952856447523702,103.838567440302,1,1960.0,51.0,947.0,2620200.0
nomu,20 handy road ,apartment,3.0,4.0,9,central region,museum,dhoby ghaut,1.29980932003035,103.846962526481,1,2009.0,50.0,3659.0,7590000.0
le nouvel ardmore,1a ardmore park ,condominium,4.0,6.0,10,central region,newton,orange grove,1.31042398715597,103.827913403265,1,2014.0,43.0,3821.0,17806800.0
suites @ eastcoast,173 upper east coast road ,condominium,1.0,1.0,15,east region,bedok,frankel,1.3146196512206,103.932237491582,1,2012.0,116.0,409.0,715000.0
avenue south residence,silat avenue,apartment,2.0,2.0,3,central region,bukit merah,kampong tiong bahru,1.2763901192721498,103.830271330171,0,1930.0,1074.0,657.0,1383800.0
sky everton,everton road,apartment,4.0,4.0,2,central region,bukit merah,everton park,1.27588976787545,103.83815170912202,1,1930.0,262.0,1346.0,4085400.0
forett@bukit timah,toh tuck road,apartment,2.0,2.0,21,central region,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,1930.0,216.0,689.0,1603800.0
sky everton,everton road,apartment,5.0,4.0,2,central region,bukit merah,everton park,1.27588976787545,103.83815170912202,1,1930.0,262.0,1819.0,6248000.0
d'leedon,leedon heights,condominium,2.0,1.0,10,central region,bukit timah,farrer court,1.3160902186364198,103.802300019532,0,2014.0,1715.0,937.0,1793000.0
ki residences at brookvale,brookvale drive,condominium,2.0,2.0,21,west region,clementi,sunset way,1.33102936528877,103.767519926051,1,1930.0,660.0,700.0,1398100.0
eco,bedok south avenue 3,condominium,2.0,2.0,16,east region,bedok,bedok south,1.32424062857487,103.945166152749,0,2017.0,748.0,840.0,1438800.0
royalgreen,anamalai avenue,condominium,5.0,4.0,10,central region,bukit timah,holland road,1.33161839267294,103.794252400987,1,2021.0,285.0,1475.0,3940600.0
commonwealth towers,230 commonwealth avenue ,condominium,1.0,1.0,3,central region,queenstown,margaret drive,1.29573433474414,103.806030198974,0,2017.0,845.0,474.0,935000.0
loft @ stevens,stevens road,apartment,1.0,1.0,10,central region,tanglin,nassim,1.3178394716996498,103.826223650676,1,2013.0,44.0,947.0,1870000.0
the boutiq,145 killiney road ,apartment,2.0,2.0,9,central region,river valley,oxley,1.29661070295127,103.838583743882,1,2012.0,130.0,883.0,2449600.0
the acacias,sommerville road,apartment,3.0,2.0,13,north-east region,serangoon,lorong chuan,1.34454437704007,103.868923396673,1,2009.0,65.0,1572.0,2255000.0
treasure at tampines,tampines lane,condominium,2.0,2.0,18,east region,tampines,tampines east,1.34503342838494,103.946749425598,0,1930.0,2203.0,678.0,1210000.0
sloane residences,balmoral road,apartment,2.0,2.0,10,central region,tanglin,nassim,1.31568887219293,103.832317948898,1,2021.0,52.0,743.0,2679600.0
pullman residences newton,dunearn road,apartment,2.0,2.0,11,central region,novena,moulmein,1.31467262956125,103.839010845653,1,1930.0,340.0,667.0,1994300.0
nouvel 18,18 anderson road ,condominium,5.0,3.0,10,central region,newton,orange grove,1.31083945362027,103.828325367461,1,2014.0,156.0,5456.0,36756500.0
jalan besar,225 jalan besar ,condominium,3.0,3.0,8,central region,kallang,lavender,1.30928782407603,103.857584554973,0,1970.0,116.0,1442.0,2750000.0
midtown bay,122 beach road ,apartment,3.0,3.0,7,central region,downtown core,city hall,1.2963566643980902,103.85736876917,0,2021.0,219.0,1324.0,4610100.0
one-north eden,slim barracks rise,apartment,5.0,3.0,5,central region,queenstown,one north,1.30326050404129,103.789209731059,0,1930.0,165.0,1259.0,2651000.0
provence residence,35 canberra crescent ,executive condominium,3.0,3.0,27,north region,sembawang,sembawang east,1.4484828125566205,103.827500614159,0,2015.0,413.0,1044.0,1234200.0
the florence residences,hougang avenue 2,apartment,3.0,2.0,19,north-east region,hougang,kovan,1.36721571020099,103.887069987475,0,1930.0,1410.0,936.0,1439900.0
affinity at serangoon,20 serangoon north avenue 1 ,apartment,2.0,1.0,19,north-east region,serangoon,serangoon garden,1.36556375666326,103.87364194752,0,2015.0,1052.0,624.0,1229800.0
sims avenue,sims avenue,condominium,2.0,2.0,14,central region,geylang,aljunied,1.31640485669867,103.887906763671,0,2014.0,72.0,700.0,1538900.0
newest,3 west coast drive ,apartment,4.0,4.0,5,west region,clementi,west coast,1.31641321892511,103.757451263571,1,2016.0,136.0,2863.0,2695000.0
j gateway,2 j gateway ,condominium,2.0,1.0,22,west region,jurong east,jurong gateway,1.33555731797921,103.742416815373,0,2016.0,738.0,624.0,1097800.0
d'leedon,leedon heights,condominium,2.0,2.0,10,central region,bukit timah,farrer court,1.3160902186364198,103.802300019532,0,2014.0,1715.0,1076.0,1958000.0
bartley vue,jalan bunga rampai,apartment,3.0,2.0,19,central region,toa payoh,joo seng,1.34036185896759,103.883846444139,0,2015.0,115.0,947.0,1822700.0
one pearl bank,1 pearl bank ,apartment,1.0,1.0,3,central region,outram,pearl's hill,1.2829614865958898,103.839814598308,0,1930.0,774.0,431.0,1221000.0
the avenir,8 river valley close ,condominium,3.0,3.0,9,central region,river valley,institution hill,1.29474075956073,103.836583709306,1,2011.0,376.0,1141.0,3603600.0
the concourse,300 beach road ,condominium,7.0,5.0,7,central region,downtown core,nicoll,1.30101092385674,103.862484057069,0,1996.0,360.0,11130.0,28380000.0
midwood,hillview rise,condominium,4.0,4.0,23,west region,bukit batok,hillview,1.36286208839026,103.763433915546,0,1930.0,564.0,1259.0,2090000.0
one dusun residences,jalan dusun,apartment,2.0,1.0,12,central region,novena,balestier,1.32696539864482,103.84367423097,1,2016.0,154.0,452.0,913000.0
boulevard 88,orchard boulevard,apartment,2.0,3.0,10,central region,orchard,tanglin,1.3049543207656202,103.827627471264,1,2010.0,154.0,1313.0,5263500.0
canninghill piers,canninghill piers,apartment,3.0,2.0,6,central region,singapore river,clarke quay,1.2914248297393,103.844383363038,0,1970.0,696.0,938.0,2750000.0
skies miltonia,miltonia close,condominium,3.0,3.0,27,north region,yishun,lower seletar,1.4180713949583403,103.84790678249,0,2016.0,420.0,2551.0,2795100.0
boathouse residences,33 upper serangoon view ,condominium,2.0,1.0,19,north-east region,hougang,kangkar,1.37557855184255,103.903316771617,0,2015.0,493.0,732.0,935000.0
mori,guillemard road,apartment,2.0,2.0,14,central region,geylang,aljunied,1.31131219787605,103.882972095616,1,2017.0,137.0,721.0,1426700.0
loft @ stevens,stevens road,apartment,1.0,1.0,10,central region,tanglin,nassim,1.3178394716996498,103.826223650676,1,2013.0,44.0,377.0,1064800.0
the lumos,leonie hill,apartment,3.0,3.0,9,central region,river valley,leonie hill,1.29906600768056,103.832068608699,1,2011.0,53.0,1754.0,4370300.0
rymden 77,lorong h telok kurau,apartment,4.0,3.0,15,east region,bedok,frankel,1.31671012798955,103.911427920628,1,1930.0,31.0,1184.0,2267000.0
forett@bukit timah,toh tuck road,apartment,2.0,1.0,21,central region,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,1930.0,216.0,570.0,1262800.0
trevista,23 lor 3 toa payoh ,condominium,1.0,1.0,12,central region,toa payoh,braddell,1.33783870484494,103.846559772458,0,2012.0,590.0,689.0,1320000.0
duo residences,1 fraser street ,apartment,3.0,3.0,7,central region,downtown core,bugis,1.29916295967817,103.857859536947,0,2017.0,660.0,1722.0,4642000.0
urban treasures,205 jalan eunos ,condominium,2.0,1.0,14,east region,bedok,kaki bukit,1.32936720206385,103.905791323853,1,1930.0,237.0,635.0,1299100.0
twentyone angullia park,21 angullia park ,condominium,3.0,3.0,9,central region,river valley,one tree hill,1.30376655553905,103.830033474096,1,2014.0,54.0,2260.0,8668000.0
lorong 34 geylang,16 lorong 34 geylang ,condominium,2.0,2.0,14,central region,geylang,aljunied,1.31334216639182,103.887624564305,1,2014.0,137.0,1152.0,1320000.0
boulevard 88,orchard boulevard,apartment,2.0,2.0,10,central region,orchard,tanglin,1.3049543207656202,103.827627471264,1,2010.0,154.0,1313.0,5263500.0
provence residence,canberra crescent,executive condominium,4.0,4.0,27,north region,sembawang,sembawang east,1.4477847128746102,103.827451281642,0,2015.0,413.0,1399.0,1812800.0
penrose,sims drive,apartment,3.0,3.0,14,central region,geylang,aljunied,1.31941278190941,103.8794959606,0,1960.0,566.0,1184.0,2099900.0
trilive,113 tampines road ,condominium,3.0,2.0,19,north-east region,hougang,lorong ah soo,1.36175110952447,103.891446797961,1,2018.0,222.0,904.0,1705000.0
pullman residences newton,dunearn road,apartment,3.0,3.0,11,central region,novena,moulmein,1.31467262956125,103.839010845653,1,1930.0,340.0,1163.0,3421000.0
eden residences capitol,stamford road,apartment,5.0,5.0,6,central region,downtown core,city hall,1.29298775382221,103.851046829843,0,2016.0,39.0,6609.0,27423000.0
the coast at sentosa cove,276 ocean drive ,condominium,5.0,3.0,4,central region,southern islands,sentosa,1.24678687668364,103.844402093991,0,2009.0,249.0,2583.0,5115000.0
double bay residences,simei street 4,condominium,3.0,3.0,18,east region,tampines,simei,1.34120980441122,103.956288849924,0,2012.0,646.0,1324.0,1578500.0
seletar park residence,17 seletar road ,condominium,3.0,3.0,28,north-east region,serangoon,seletar hills,1.38653998627,103.869207772374,0,2015.0,276.0,2315.0,2420000.0
the hyde,11 balmoral road ,condominium,1.0,1.0,10,central region,tanglin,nassim,1.31432631656582,103.831065213527,1,1947.5,117.0,495.0,1563800.0
the woodleigh residences,23 bidadari park drive ,apartment,2.0,2.0,13,central region,toa payoh,bidadari,1.3388489988881498,103.871424136458,0,1960.0,667.0,743.0,1871100.0
meyer mansion,meyer road,apartment,3.0,3.0,15,central region,marine parade,mountbatten,1.29647219511777,103.891034649257,1,1930.0,200.0,1109.0,3047000.0
affinity at serangoon,42 serangoon north avenue 1 ,apartment,6.0,4.0,19,north-east region,serangoon,serangoon garden,1.36568309360788,103.874037846175,0,2015.0,1052.0,2325.0,2702700.0
marina collection,13 cove drive ,condominium,4.0,5.0,4,central region,southern islands,sentosa,1.24297424636053,103.839164641252,0,2011.0,124.0,3789.0,7755000.0
dairy farm residences,dairy farm lane,apartment,2.0,2.0,23,west region,bukit panjang,dairy farm,1.3655707838852,103.77504908361,0,1930.0,460.0,721.0,1313600.0
the sorrento,55 west coast road ,condominium,3.0,2.0,5,west region,clementi,clementi west,1.29576313642746,103.766122279701,1,2015.0,131.0,1442.0,2197800.0
residence twenty-two,246 telok kurau road ,apartment,3.0,3.0,15,east region,bedok,frankel,1.31101225037145,103.91104219781602,1,2012.0,22.0,1216.0,2506800.0
reflections at keppel bay,5 keppel bay view ,condominium,2.0,2.0,4,central region,bukit merah,maritime square,1.26742739055301,103.813671410135,0,2011.0,1129.0,1077.0,2189000.0
amber 45,45 amber road ,apartment,4.0,5.0,15,central region,marine parade,marine parade,1.30234997893113,103.901267900768,1,2020.0,139.0,1593.0,4644200.0
the gazania,17 how sun drive ,condominium,3.0,2.0,19,north-east region,serangoon,upper paya lebar,1.34523265795055,103.879382616118,1,1945.0,250.0,850.0,2026200.0
marina collection,cove drive,condominium,5.0,4.0,4,central region,southern islands,sentosa,1.24297424636053,103.839164641252,0,2011.0,124.0,3940.0,7484400.0
one dusun residences,1 jalan dusun ,apartment,2.0,1.0,12,central region,novena,balestier,1.32696539864482,103.84367423097,1,2016.0,154.0,484.0,935000.0
up@robertson quay,robertson quay,apartment,2.0,2.0,9,central region,singapore river,robertson quay,1.29078080113526,103.837445495482,0,2015.0,70.0,1119.0,2587200.0
scotts square,scotts road,apartment,1.0,1.0,9,central region,orchard,boulevard,1.30580609670053,103.833059609864,1,2011.0,338.0,624.0,2728000.0
midtown modern,tan quee lan street,apartment,1.0,1.0,7,central region,downtown core,bugis,1.29850522262382,103.857088439281,0,1930.0,558.0,409.0,1617000.0
the poiz residences,12 meyappa chettiar road ,apartment,3.0,1.0,13,central region,toa payoh,potong pasir,1.33154468020698,103.866996465418,0,2018.0,731.0,859.0,1237500.0
sky everton,50 everton road ,apartment,6.0,5.0,2,central region,bukit merah,everton park,1.27588976787545,103.83815170912202,1,1930.0,262.0,2228.0,7699800.0
river place,60 havelock road ,condominium,2.0,2.0,3,central region,singapore river,robertson quay,1.2896097164683,103.841276389346,0,1999.0,492.0,1055.0,1870000.0
primedge,45 lorong 34 geylang ,apartment,2.0,2.0,14,central region,geylang,aljunied,1.31253129900962,103.888139939124,1,2014.0,36.0,979.0,1375000.0
allsworth park,361 holland road ,condominium,3.0,4.0,10,central region,bukit timah,ulu pandan,1.31987664656565,103.781130442617,1,1985.0,170.0,1959.0,3960000.0
helios residences,17 cairnhill circle ,apartment,3.0,3.0,9,central region,newton,cairnhill,1.30682945098827,103.838164594407,1,2011.0,140.0,1281.0,3608000.0
north park residences,yishun central 1,apartment,4.0,2.0,27,north region,yishun,yishun central,1.4271730204268198,103.836266579618,0,2018.0,920.0,1270.0,2120800.0
eight riversuites,whampoa east,condominium,3.0,2.0,12,central region,kallang,bendemeer,1.3218204074661002,103.864744134712,0,2016.0,862.0,979.0,1683000.0
39 flower road,39 flower road ,condominium,6.0,4.0,19,north-east region,hougang,kovan,1.36101098064253,103.880153745142,1,1998.0,548.0,2260.0,2860000.0
j gateway,gateway drive,condominium,1.0,1.0,22,west region,jurong east,jurong gateway,1.33555731797921,103.742416815373,0,2016.0,738.0,474.0,968000.0
76 shenton,shenton way,apartment,1.0,1.0,2,central region,downtown core,anson,1.27347663345182,103.845553160818,0,2014.0,202.0,592.0,1331000.0
parc clematis,8a jalan lempeng ,apartment,3.0,2.0,5,west region,clementi,faber,1.31702437516587,103.760349630999,0,1930.0,1468.0,969.0,2025100.0
canninghill piers,clarke quay,apartment,3.0,2.0,6,central region,singapore river,clarke quay,1.2914248297393,103.844383363038,0,1970.0,696.0,829.0,2415600.0
lake life,tao ching road,executive condominium,4.0,2.0,22,west region,jurong west,taman jurong,1.33215538990119,103.723817615498,0,2016.0,546.0,1249.0,1738000.0
spottiswoode residences,48 spottiswoode park road ,condominium,1.0,1.0,2,central region,bukit merah,everton park,1.27527115223131,103.83683222505,1,2013.0,351.0,603.0,1518000.0
v on shenton,5a shenton way ,apartment,2.0,1.0,1,central region,downtown core,cecil,1.27708340707631,103.849181343548,0,2017.0,510.0,721.0,2200000.0
affinity at serangoon,18 serangoon north avenue 1 ,apartment,1.0,1.0,19,north-east region,serangoon,serangoon garden,1.36565982088201,103.873224518821,0,2015.0,1052.0,474.0,825000.0
livia,63 pasir ris grove ,condominium,5.0,5.0,18,east region,pasir ris,pasir ris central,1.37233081948329,103.943417527664,0,2011.0,724.0,2679.0,2915000.0
urban lofts,rangoon road,apartment,1.0,1.0,8,central region,kallang,kampong java,1.31416383479813,103.853905530109,1,2010.0,46.0,431.0,811800.0
the lumos,leonie hill,apartment,5.0,3.0,9,central region,river valley,leonie hill,1.29906600768056,103.832068608699,1,2011.0,53.0,2432.0,6380000.0
icon,10 gopeng street ,apartment,1.0,1.0,2,central region,downtown core,tanjong pagar,1.27516997577919,103.844496312645,0,2007.0,646.0,570.0,1188000.0
the peak @ cairnhill i,cairnhill circle,apartment,1.0,1.0,9,central region,newton,cairnhill,1.30819265200559,103.838374549594,1,2014.0,52.0,689.0,1870000.0
riverfront residences,43 hougang avenue 7 ,apartment,4.0,2.0,19,north-east region,hougang,kangkar,1.3705124214993798,103.899646123343,0,2015.0,1472.0,1485.0,2439800.0
martin modern,martin place,condominium,2.0,2.0,9,central region,river valley,institution hill,1.2934966639073,103.8381049101,0,2021.0,450.0,764.0,1961300.0
lloyd sixtyfive,65 lloyd road ,apartment,1.0,1.0,9,central region,river valley,oxley,1.2972729466104298,103.838940257017,1,2016.0,76.0,710.0,3099800.0
palmera east,lorong melayu,apartment,2.0,1.0,14,east region,bedok,kembangan,1.32088202092246,103.91009200714198,1,2012.0,32.0,635.0,1089000.0
scotts 28,28 scotts road ,condominium,2.0,1.0,9,central region,newton,cairnhill,1.30980898738366,103.834917913837,1,1998.0,136.0,1098.0,2915000.0
principal garden,prince charles crescent,condominium,3.0,4.0,3,central region,bukit merah,alexandra north,1.2929389935100302,103.821693138843,0,2018.0,663.0,1195.0,2552000.0
forett@bukit timah,38b toh tuck road ,apartment,5.0,4.0,21,central region,bukit timah,anak bukit,1.34013731823673,103.768787031514,1,1930.0,258.0,1884.0,4350500.0
the lilium,31 how sun road ,condominium,4.0,4.0,19,north-east region,serangoon,upper paya lebar,1.34579628007765,103.880801954328,1,2021.0,80.0,1291.0,2640000.0
martin modern,10 martin place ,condominium,2.0,2.0,9,central region,river valley,institution hill,1.29303736708345,103.837772811242,0,2021.0,450.0,883.0,3105300.0
marina one residences,23 marina way ,apartment,3.0,3.0,1,central region,downtown core,central subzone,1.2772242561628302,103.853694940241,0,2017.0,1042.0,1593.0,4495700.0
meyer mansion,79 meyer road ,apartment,2.0,2.0,15,central region,marine parade,mountbatten,1.29647219511777,103.891034649257,1,1930.0,200.0,689.0,2033900.0
normanton park,normanton park,apartment,5.0,3.0,5,central region,queenstown,kent ridge,1.28749505390492,103.793610594541,0,1930.0,1862.0,1313.0,2560800.0
peak residence,333 thomson road ,condominium,2.0,2.0,11,central region,novena,malcolm,1.32534460429599,103.840724426138,1,2013.0,90.0,829.0,2536000.0
the gazania,5 how sun drive ,condominium,3.0,2.0,19,north-east region,serangoon,upper paya lebar,1.34478691681927,103.878778848783,1,1945.0,250.0,850.0,2026200.0
fourth avenue residences,10 fourth avenue ,apartment,3.0,1.0,10,central region,bukit timah,coronation road,1.33049827080051,103.796577625251,0,1930.0,476.0,646.0,1595000.0
bartley vue,6 jalan bunga rampai ,apartment,2.0,1.0,19,central region,toa payoh,joo seng,1.34036185896759,103.883846444139,0,2015.0,115.0,657.0,1210000.0
pullman residences newton,18 dunearn road ,apartment,3.0,2.0,11,central region,novena,moulmein,1.31467262956125,103.839010845653,1,1930.0,340.0,1163.0,3554100.0
casa al mare,jalan loyang besar,apartment,3.0,3.0,17,east region,pasir ris,pasir ris park,1.37785629605717,103.957089619973,1,2021.0,49.0,1130.0,2005300.0
forett@bukit timah,32 toh tuck road ,apartment,1.0,1.0,21,central region,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,1930.0,258.0,474.0,1071400.0
the lilium,how sun road,condominium,2.0,2.0,19,north-east region,serangoon,upper paya lebar,1.34553420682452,103.880737418528,1,2021.0,80.0,699.0,1688800.0
d'nest,131 pasir ris grove ,condominium,2.0,2.0,18,east region,pasir ris,pasir ris central,1.36983181096693,103.946441576614,0,2017.0,912.0,753.0,1078000.0
one pearl bank,pearl bank,apartment,4.0,2.0,3,central region,outram,pearl's hill,1.2829614865958898,103.839814598308,0,1930.0,774.0,1432.0,3113000.0
starlight suites,11 river valley close ,apartment,2.0,1.0,9,central region,river valley,institution hill,1.29371532764206,103.837276710508,1,2014.0,105.0,775.0,1875500.0
